Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Volume,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Volume,INFY_Open,INFY_High,INFY_Low,INFY_Close,INFY_Volume,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_Volume
2021-07-27,940.6199818363403,943.7450933231961,924.8584510240973,930.746337890625,10824523,2795.0768878645167,2803.8115031390935,2761.142822223809,2780.184326171875,1121367,1397.9108175675212,1401.6560417250942,1391.7269342802642,1395.7769775390625,5892859,671.9492629376794,678.4062873762315,671.9492629376794,673.6571044921875,22401430,15860.5,15881.5498046875,15701.0,15746.4501953125,311000.0
2021-07-28,932.1050093559254,932.1050093559254,913.1956670017476,922.7522583007812,12897848,2784.5950645543444,2798.963462561045,2736.030523298907,2793.155029296875,1660654,1397.9978633827702,1400.1752945157943,1380.9268245638377,1398.433349609375,4686788,671.4580337267465,673.1658182413217,656.9297566466004,663.15283203125,20670342,15761.5498046875,15767.5,15513.4501953125,15709.400390625,318600.0
2021-07-29,930.2933681370648,939.5329082786225,925.4924300252735,929.9536743164062,13765738,2795.295552970715,2817.3067431732998,2786.604652490122,2791.40869140625,1731997,1393.643092143495,1410.9754663584183,1393.643092143495,1408.362548828125,4660873,668.2763382138219,669.0717431809376,661.281275286732,663.5973510742188,13702230,15762.7001953125,15817.349609375,15737.7998046875,15778.4501953125,401600.0
2021-07-30,932.1050565925411,936.6115854453042,919.9215431668897,921.8238525390625,11350608,2811.6727376362114,2815.603314622655,2762.191225983625,2766.645751953125,2999943,1402.2658076696387,1413.9368611216748,1398.9125846109287,1402.7012939453125,6234257,663.9481988242158,669.9139067417696,658.7778957823883,667.4340209960938,11655488,15800.599609375,15862.7998046875,15744.849609375,15763.0498046875,400000.0
2021-08-02,930.4293230086479,941.7975357253354,924.4734496016514,938.6724243164062,10925104,2777.6079147247424,2816.826255643097,2766.25291381549,2812.022216796875,2608669,1417.4642058801662,1423.8223478971256,1410.278682485059,1421.0352783203125,5553389,671.4346657200673,671.4346657200673,662.6615646871396,665.6561279296875,13258786,15874.900390625,15892.900390625,15834.650390625,15885.150390625,244800.0
2021-08-03,946.5984271599676,947.0513322851771,934.9131634487219,945.579345703125,11817299,2820.407229235337,2873.688381599337,2811.6288983685017,2869.233642578125,3804735,1434.4918563493748,1444.6387082912352,1424.5627475551084,1441.6337890625,5513668,659.7371752995092,673.7273580288141,659.7371752995092,671.2942504882812,12033120,15951.5498046875,16146.900390625,15914.349609375,16130.75,341300.0
2021-08-04,948.5913497541121,957.4685547431583,945.2397556194825,952.826171875,13169800,2882.423149896209,2886.9651073617065,2848.532798696424,2859.66943359375,2929598,1453.7401991220645,1463.146744783546,1427.5675389174712,1436.451416015625,6740391,674.2420380634766,689.9166447776518,673.7741393555907,685.6119995117188,22053948,16195.25,16290.2001953125,16176.150390625,16258.7998046875,427300.0
2021-08-05,957.604315821072,975.9474827845528,953.0525024475675,966.6400756835938,21252078,2860.586370931835,2895.5248304241322,2849.668102340492,2868.40380859375,2534521,1436.6690522625252,1451.0400976473882,1434.5352122939364,1440.196533203125,5420536,686.4541971765548,705.1467852148428,681.915602462393,694.7593994140625,18822408,16288.9501953125,16349.4501953125,16210.2998046875,16294.599609375,418200.0
2021-08-06,964.6925186543999,972.3921457790564,941.5031281309346,946.168212890625,16620987,2858.446952125607,2903.386511160593,2851.852274049138,2890.9833984375,2292362,1443.201464252009,1446.380535210929,1431.8788215028985,1437.27880859375,3754855,694.151129892624,701.8480405574549,689.6826745211256,698.4089965820312,13339270,16304.400390625,16336.75,16223.2998046875,16238.2001953125,320100.0
2021-08-09,942.5222572127834,946.507954500859,935.9549225779072,940.7785034179688,7494143,2903.298355204732,2914.7407852103993,2891.157326654606,2902.250244140625,1510489,1446.6853193592076,1452.3030494440573,1433.9691421507919,1448.6885986328125,5018477,698.1049062784269,705.2871403721247,690.6185265864331,703.6729125976562,10998048,16281.349609375,16320.75,16179.0498046875,16258.25,240500.0
