Date,RELIANCE_log_return,RELIANCE_volatility_10d,RELIANCE_rsi,RELIANCE_macd_signal,RELIANCE_ma_ratio,TCS_log_return,TCS_volatility_10d,TCS_rsi,TCS_macd_signal,TCS_ma_ratio,INFY_log_return,INFY_volatility_10d,INFY_rsi,INFY_macd_signal,INFY_ma_ratio,HDFCBANK_log_return,HDFCBANK_volatility_10d,HDFCBANK_rsi,HDFCBANK_macd_signal,HDFCBANK_ma_ratio,NIFTY50_log_return,NIFTY50_volatility_10d,NIFTY50_rsi,NIFTY50_macd_signal,NIFTY50_ma_ratio
2021-09-22,0.743756243940769,-0.1820493375306771,1.2163745665371515,1.6632945291812413,2.0152152845702145,0.014562158107863887,-0.11134949099863013,0.8259879902122148,2.3830080574458368,2.6966510670494728,-0.038519422665187895,-1.1015854262050717,0.6158097254923881,0.45200991249746114,0.6504592577352414,-0.9004879604359776,-0.5436195338648309,-0.9187873051384906,0.6795489951473724,1.0960719123528422,-0.12994493248882727,-0.5632234110423567,1.0678514831890291,1.4933680444714688,1.8851130366927698
2021-09-23,1.696900513290248,0.232538496984072,1.34853263149796,1.666116919797755,2.0973834620752068,0.16131801405210625,-0.2625665488428232,0.28295220706741203,2.3051366203592383,2.659610829481235,0.9262929944781075,-1.0181021614207382,0.7803657024200855,0.4538938182250593,0.5976406119925557,1.757816424194915,0.003967242187403943,-0.3798362185387865,0.6272694675621798,1.0710937358910115,1.743265720223591,-0.1535053958664568,1.226676055368268,1.48893476309279,1.930729628162918
2021-09-24,-0.21603124893134187,0.23647632000924362,0.8005478601296726,1.6764105759333026,2.1608171768805975,0.06747952265771533,-0.2645333525491149,0.2635246595575996,2.2250061878008993,2.6168256234636766,0.7619454946348954,-0.9633687114501367,0.8792482379838589,0.47899579409941917,0.5590394681853967,1.4939380949134615,0.26146262792198555,0.2879930674476724,0.6117589250682662,1.0775519770480275,0.16187755599306197,-0.15794198163900797,1.151529788904535,1.4943644910113825,1.986013984340098
2021-09-27,1.168540794194029,-0.22447933847623477,0.8302120283338382,1.7044185292139653,2.2388168250136964,-0.6105123453465631,-0.33877012647974003,-0.016866366500766266,2.1322086753789256,2.5504135025406565,-1.486185718396895,-0.3397055666275299,-0.12943940456364406,0.4935759415182369,0.5254153767416625,1.0940074269650633,0.25789948417673375,0.7233270691859116,0.6366136715723992,1.1059008158578467,-0.018579689766822317,-0.16941783211362763,1.07808828736629,1.5019152161329743,2.0335020887851885
2021-09-28,0.6470873707816281,-0.2778832303718184,0.8811596871672928,1.7479017280493148,2.29415466316417,-1.0604138857909597,-0.29689606176786737,-0.1396062663203163,2.0138168898503226,2.4776598897647752,-1.2086972769533422,-0.05678511424321746,-0.2535160760685733,0.4816343439826647,0.48622784980212763,-0.47588105892384536,0.2819629405549649,0.5215601453685317,0.676267918933383,1.1148882107844547,-0.7099227039465016,-0.03264781377161751,0.7494333780873024,1.4968185283746849,2.0417994652396136
2021-09-29,-0.5742112928182844,-0.094371886919714,0.762802828484542,1.7860446428472465,2.358645579882013,0.27126851260932305,-0.7126948994492656,0.18524091153988526,1.8852399190295868,2.370876880988208,0.20374515849730637,-0.20542174310825417,-0.020523689384439624,0.4555400875341134,0.4358643828996729,-1.0049639893835498,0.4658374664127312,0.13630128479255207,0.7053200635204461,1.0952932464688907,-0.2695211668955562,-0.08456167626281873,0.6561708990442021,1.4767406627613486,2.016480181098469
2021-09-30,-0.25227226175712203,-0.25480308731129014,0.7323290219748382,1.8108931396146122,2.408783090593796,-0.2808257173458096,-0.816022258228456,-0.023462717295734355,1.747929722426091,2.289217946359861,-0.6042542425976091,-0.16456111057996103,-0.2075338011751493,0.4119658564803738,0.3950151468696578,0.04436707413610207,0.44487624141275006,0.2555146665147779,0.7253604756129667,1.0548485042921005,-0.6293902535729881,-0.08376096687866026,0.3543466326960161,1.436007122753118,1.980803122624686
2021-10-01,0.11367256191175933,-0.6507019155075359,1.4305201058532504,1.823614820689465,2.4395462381505375,-0.8382411328455243,-1.0708578778554356,-0.654391188064719,1.5945647080996923,2.1496671049736444,-0.35224913460795004,-0.167278951609401,-0.3206948115050189,0.3535880345132596,0.3442599574230362,-0.58960070543915,0.38157684099739797,0.26687385742837116,0.7276225593356831,0.9818806931303615,-0.5868932054049676,-0.05165578824519846,0.16808775561095432,1.3728735034398283,1.9065990290139616
2021-10-04,0.8926358275505453,-0.6214880432256442,1.6168910289803808,1.8373760499977132,2.4251738507385996,0.8543345178124957,-0.8297288200509342,-0.6342637889877766,1.4492044206664747,2.0209950043155738,0.5156972506371146,-0.11207270230387796,-0.09139880017172326,0.2956508157904156,0.3028111795644585,0.1376016363822521,0.21791436616569715,0.40317351175933475,0.7192170324576278,0.9285999003671669,0.9956786150822249,-0.1716128203138221,0.39552750843381534,1.309712619845746,1.845191641751726
2021-10-05,1.4419523479938583,-0.45140307464244633,1.7666371701706598,1.8690450184073946,2.401538346878982,1.162219626552707,-0.6457197029857963,-0.703439129836066,1.3320867054137784,1.9028126001408812,0.5279739730633064,-0.29782992007660736,-0.2289448952071145,0.2480587022837939,0.2461963452976313,0.45255843259178685,0.18921500591197082,0.5299826644756953,0.7102551800974493,0.8910226907753367,0.8073010995168556,-0.22938763587506714,0.38256521903443863,1.2581511822899976,1.7893706864950594
